Category,dbID,siteID,SiteName,SubTitle,Lat,Lon,Desc,Sview,Sviewlat,Sviewlong,Heading,Zoom,Pitch,top,mapzoom,sponsor,Categ,image
Historic,375,s92,Battle of Stoney Creek,The Beginning of The End ,43.218493,-79.764344,"The Battle of Stoney Creek (6th June 1813) at the base of the Niagara [Escarpment] was a classic example of stealth by British and Canadian forces in pursuing and beating a numerically superior invading American force during the War of 1812. Advancing from their base on high ground at Burlington Heights (Site [S25]) British regulars, militia and First Nations made a surprise night attack confusing the Americans and capturing two of their generals. The next morning the Americans retreated back to the Niagara River to Fort George and never again advanced this far into the Niagara Peninsula.",y,43.218428,-79.764563,29.8,0,-1.34,n,17,,5,http://planetrocks.ca/wp-content/uploads/S92.png
Historic,376,s93,The David Dunlap Observatory,,43.862787,-79.422747,"The David Dunlap Observatory was established in 1935, formerly owned and operated by the University of Toronto. It was at one time the second largest telescope in the world and still the largest in Canada. It is currently owned and operated by the Royal Astronomical Society of Canada which provides public viewings and tours periodically, especially on nights of significant celestial events.",n,,,,,,n,17,,5,http://planetrocks.ca/wp-content/uploads/S93.png
Rocks and Minerals,377,s94,Slowly Dissolving,,43.64271,-79.399862,"Some rocks are hard, especially those found across the Canadian [Shield] but others, mostly in southern Ontario are much softer. In particular [Limestones] are rich in the[ Mineral ]calcite (calcium carbonate) which is prone to being dissolved by water.[ Karst ]landforms such as underground caves are one result of the slow [Dissolution] of rocks such as [Limestone] (Sites [S47], [E3]).  The widening of [Joints] in [Limestone] produces wide [Fissures] (called 'grikes') leaving blocks in between (referred to as 'clints') like large paving stones. These are very common across the many [Limestone] plains of southern Ontario particularly on Manitoulin Island.  Such activity is part of what geologists call '[Chemical Weathering].'  Many monuments and gravestones have been rapidly weathered and are now almost undecipherable; [Weathering] has been especially rapid in cities because of the poorer air quality and where sulphur particles produced by combustion of coal or gasoline creates acid rain (Site [S60]).",n,,,,,,n,16,,4,http://planetrocks.ca/wp-content/uploads/S94.png
Historic,378,s95,Bending the Don' ,,43.65070278,-79.34705,At the foot of the Don Valley Parkway immediately south of Gardiner Expressway is the infamous 'bend in the Don River.' In 1912 engineers diverted the Don River westwards to enter Toronto Harbour; previously it flowed south into Ashbridge's Bay and large wetland and important stopover for migrating birds. The Bay was then heavily polluted with human and animal wastes and was filled in to create the Port Industrial District (Site [S11]) for new industrial development.  Today the Port Industrial District is heavily contaminated and various plans are in place to clean it up. The right angle[ Bed ]in the Don essentially dams the river allowing[ Debris ]and contaminated[ Sediment ]to accumulate in the bend which has to be dredged to keep it clear. It is an abject lesson in how not to deal with urban rivers.,y,43.650083,-79.346515,300.67,0,-7.71,n,16,,5,http://planetrocks.ca/wp-content/uploads/S95.png
Historic,379,s96,East Point ,,43.75929722,-79.15268333,"East Point Park projects out into Lake Ontario and defines the far eastern end of Scarborough Bluffs (Sites [S7], [S8], [S9],[S10]) and affords fine views westwards along the cliffs of the Bluffs coastline. East Point is made of grey-coloured glacial[ Till ]left by the last [Ice sheet] about 12,000 years ago. Look out for numerous glacial [Erratic] boulders typically composed of [Gneiss] and [Granite] in the[ Till ]and along the foreshore, transported southwards by the [Ice sheet].  Note that the softer, grey coloured [Limestone] stones and boulders in the[ Till ]are extensively scratched (striated) by glacial transport. Boulders were once used for buildings (Site [S6]). Hike or bike the cliff-top trail that makes up the Waterfront Trail.",n,,,,,,y,16,,5,http://planetrocks.ca/wp-content/uploads/S96.png
Nature,380,s97,Hilton Falls ,,43.505322,-79.961944,"Hilton Falls is one of the best kept secrets of the Niagara [Escarpment], at the end of a short pleasant hike from the parking at Hilton Falls Reservoir. A small creek fed by wetlands flows over the edge of the [Escarpment] creating a scenic bowl-shaped waterfall.",n,,,,,,n,14,,8,http://planetrocks.ca/wp-content/uploads/S97.png
Earth History,381,s98,Mt. Nemo,The Milton Outlier,43.505235,-79.940675,"At several places along the Niagara [Escarpment], glacial melt waters cut large deep channels. A particularly impressive channel at Milton has cut right through the [Escarpment], and now separates what is called an '[Outlier]'. It is distinctly shaped like a large island emerging from the surrounding lowlands called the Mount Nemo Plateau. The area has been recently protected from quarrying, keeping this gem of the Greenbelt of Southern Ontario intact for future generations. Rattlesnake Point (Site [S22]) Can be found on the south eastern side of the plateau. Crawford Lake (Site [S23]) is also nearby.",n,,,,,,n,15,,6,http://planetrocks.ca/wp-content/uploads/S98.png
Rocks and Minerals,382,s99,Peter Russell Rock Garden ,,43.471541,-80.543527,This impressive collection of rocks mostly from Ontario is named after a Curator Peter Russell at the University of Waterloo. It was established to commemorate the 25th anniversary of the founding of the University.,n,,,,,,n,16,,4,http://planetrocks.ca/wp-content/uploads/S99.png
Nature,383,s100,Highland Creek,University of Toronto Scarborough,43.781246,-79.185937,"Highland Creek is a typical 'misfit' (A relatively small stream flowing within a deep valley) river. The valley owes its depth due to incision following the drainage of Glacial Lake Iroquois 12,000 years ago. There are many hiking trails on the floor of the valley. The flow of highland creek has been severely impacted by the 'hardening' of the local urban watershed and the creek is subjected to repeated flooding and [Erosion] of its banks. Similar ravines are found all over the Greater Toronto Area ([S91]).",n,,,,,,n,16,b,8,http://planetrocks.ca/wp-content/uploads/S100.png
Rocks and Minerals,384,s101,UTSC's Marble Boulder,Left Behind by an Ancient Ice Sheet,43.784098,-79.187927,"Glacial [Erratics] are large boulders moved south by successive [Ice sheets] (e.g., Sites [C32], [C45], [S105], [S115]).  The last [Ice sheet] covered Toronto from about 23,000 to 12,000 years ago and was 1 kilometres thick and carried many thousands of [Erratics] in its base.  In Southern Ontario [Erratics] are typically derived from the Canadian [Shield] and most commonly made of hard crystalline rocks such as banded grey-coloured [Gneisses] or pink [Granite]. They are common within glacial sediments such as[ Till ](Site [S59]). The prettiest ones are those composed of white [Marble] which is a surprisingly common rock type across the eastern part of the [Shield] (Sites [E2], [E16], [E43], and [E44]). A superb example of a large [Marble] [Erratic] can be seen on the campus of the University of Toronto at Scarborough. It was uncovered during excavations and donated to the University in the 1980's. Scarborough campus has many other examples of [Erratics] but none so pretty as the [Marble] boulder. Look out for the many parallel scratches ([Striations]) left on its surface by ice flowing over it and its streamlined shape. These are hallmarks of [Erratics] overrun by [Ice sheets] and scratched by[ Debris ]being carried by the ice (See [S42]). The most likely source of the boulder is nearly 200 kilometres northeast of Scarborough near Petroglyphs Provincial Park (Site [C47]) where indigenous people carved symbols (petroglyphs) onto [Marble] [Bedrock].",n,,,,,,n,17,b,4,http://planetrocks.ca/wp-content/uploads/S101.png
Historic,385,s102,War of 1812 Memorial,Victoria Memorial Square,43.642741,-79.400121,"Toronto (then known as York) was attacked in April 1813 during the war against the United States of America (Sites [S32], [S38], [S39]). A large explosion during the British retreat from Fort York, blew large boulders over invading American troops, killing their commander; Zebulon Pike. The unidentified, old and wistful soldier on the War of 1812 memorial in Victoria Memorial Square commemorates the fallen.",y,43.642999,-79.400457,145.24,1,-1.83,n,17,,5,http://planetrocks.ca/wp-content/uploads/S102.png
Historic,386,s103,Sir Adam Beck,Power to the People,43.650502,-79.386464,"Sir Adam Beck was a politician and a pioneer to hydroelectricity having founded the Hydro-Electric Power Commission of Ontario. He was firmly opposed to the power grid run by privately owned companies, feeling them as inadequate to serve the publics' needs. He was knighted in 1914 for his work in electricity and power transmission across southern Ontario. In 1950, the Queeston Chippewa Power Station was renamed to the Sir Adam Beck Power Station (Site [S50]) paying homage to this Canadian power house. The bronze statue stepping out of the white [Granite] was designed by artist Emmanuel Hahn to capture Beck's commanding figure. The cascading water basin beneath him complements his ideas to harness water. ",y,43.65083,-79.386585,156.99,1,-3.34,n,17,,5,http://planetrocks.ca/wp-content/uploads/S103.png
Historic,387,s104,Campsite Founding,To the Founders of Toronto,43.644875,-79.386858,"To commemorate the 200th anniversary of Toronto, artists Brad Golden and Lynne Eichenberg made 'Camp Site Founding' as a space of ""contemplation"" for the actions of Governor John Graves Simcoe and Elizabeth Simcoe. The memorial features detailed laser-etched artifacts, legacies and the cartography of an early Toronto. The canopy represents the canvas campaign tent purchased from the iconic Captain James Cook which housed the Simcoes for 4 years while the bronze board-room style table embellishes the legislature of Simcoe. Next to the memorial lies a pyramid cairn made of [Dolostone] from the Niagara [Escarpment] (Site [S36]) and another public art piece 'Mountains"" (Site [S106]). A statue of Simcoe can be found to the west of the Provincial Legislature building ([S82]).",y,43.644487,-79.386396,335.58,0,-2.2,n,17,,5,http://planetrocks.ca/wp-content/uploads/S104.png
Historic,388,s105,Christie Erratic Boulder,,43.664189,-79.420976,"The Christie [Gneiss] [Erratic] (See Sites [C32], [C45], [S115]) spent the last 12,000 years of its life near Kawartha Lake (Site [C44]) before it was moved to a new home in Toronto by artist Maura Doyle. It weighs 10 tons and is a billion years old, a common age for northern [Shield] rock.  Smoothed, yet visibly scarred, this is one of many [Erratic] boulders in southern Ontario that took the rough journey with advancing and retreating [Ice sheets].",n,,,,,,n,17,,5,http://planetrocks.ca/wp-content/uploads/S105.png
Earth History,389,s106,Mountain building in Toronto,,43.644879,-79.386988,"Simcoe Park features not only Campsite Founding(Site [S104]) but a mountain range; an untitled sculpture by famous contemporary artist Anish Kapoor. The towering spires were sought to invoke both a metaphor and a paradox to the concrete jungle of Toronto. Ironically, a billion years ago, southern Ontario was home to the Grenville mountains, which would have dwarfed todays Himalayan mountains (Site [C4] and [C8]). Upon close inspection, you'll notice the hard rimmed edges of topographically layered stainless steel, building mountains step by step.",y,43.644333,-79.38697,4.19,2,0.14,n,17,,6,http://planetrocks.ca/wp-content/uploads/S106.png
Historic,390,s107,The Chinese Railway Workers' Memorial ,,43.641782,-79.391993,"Canada's past contains a dark history of slavery that built this nation. In the mid 1800's the west exploited thousands of Asian workers as a source of cheap labor to build the Canadian Pacific Railway. It proved to be quite a feat of engineering having to blast and weave through hundreds of kilometres of mountainous terrain. The grand nature of the work is meant to be overwhelming and not to be ignored, commanding viewers to walk around the trestle and embrace the hazards these workers experienced during the build. The Memorial contains 3 split boulders of [Limestone] actually collected from the old train route in the Rocky Mountains and craned in through the railway below. Each boulder contains simple Chinese apothegm of wisdom. ",y,43.641645,-79.391871,349.91,0,-14.75,n,16,,5,http://planetrocks.ca/wp-content/uploads/S107.png
Historic,391,s108,Union Station,,43.645551,-79.380826,"Union Station has been Toronto's central transport terminal since its opening in 1927. It is currently Canada's largest and busiest Railway Station serving a quarter of a million people daily and remains one of the country's finest examples of 'Beaux-Arts-style' architecture.  The exterior front Façade is Indiana and Queenston [Limestone] while the front Front Roman Tuscan Columns made from Bedford [Limestone]. Interior walls are faced with Zumbro stone from Missouri, and the floors are constructed of Tennessee [Marble] laid in a herringbone pattern. Union station is presently undergoing a massive revitalization program.",y,43.645551,-79.380826,172.86,0,-23.21,n,17,,5,http://planetrocks.ca/wp-content/uploads/S108.png
Nature,392,s109,Witness to History,The old growth Forest at Niagara-on-the-Lake,43.244054,-79.062177,"Ontario was once covered by enormous forests but so-called 'old growth' forests that show little evidence of human interference are rare nowadays. Centuries old 'dwarf'  cedars still survive at Mazinaw Lake clinging to the big cliff there (Site [E7]) and at several  spots along the Niagara [Escarpment] such as at Rattlesnake Point ([S22]).  If you want to walk in an old growth area one of the most accessible is just south of Fort George in Niagara-on-the-Lake. This is a superb grove of what is called oak-savannah with some oaks as old as 275 years! Some of these trees were standing when the Americans invaded at Queenston close by in 1813 ([S32]).  There are several other small but significant areas of old growth forest in southern Ontario ([S110] , [S111],  [S112] and [W39]) .",y,,,155.88,0,-22.11,n,15,,8,http://planetrocks.ca/wp-content/uploads/S109.png
Nature,393,s110,Rouge Valley Park,,43.81451,-79.153372,"This is Canada's latest 'urban' national park just east of Metro Zoo. It embraces the Rouge and Little Rouge Creeks both deeply cut into thick glacial deposits like at Seaton to the north ([S5]). The deep valleys afford lots of opportunities in winter and summer to get off the beaten track;  their narrow ravine -like form is the product of [Erosion] following the drainage of glacial Lake Iroquois about 12,000 years ago ([S91]).  The 'tablelands' between the two rivers easily accessible from the car park on Twyn Rivers Drive or from Highway 2 to the south have a thick cover of old growth forest. A rare [Outcrop] of Whitby [Shale] ([S4]) and possibly-earthquake-related faults ([S3]) are exposed in the park. ",y,,,195.74,0,-4.96,n,14,,8,http://planetrocks.ca/wp-content/uploads/S110.png
Nature,394,s111,Cootes Paradise,,43.265923,-79.908014,This is a large wetland and lagoon lying to the west of the old glacial Lake Iroquois[ Spit ]at Burlington Height ([S25]). It has several hiking trails that wander among remnants of old growth forest such as the Chegwin Trail. During the 19th century the Desjardins Canal was dug through the Heights into Cootes Paradise to connect the town of Dundas with Lake Ontario. ,y,,,34.02,0,-11.25,n,13,,8,http://planetrocks.ca/wp-content/uploads/S111.png
Nature,395,s112,Sugar Granddaddy,The Oldest Maple Tree in Southern Ontario?,43.059117,-79.345263,The so-called Comfort Maple in the Comfort Maple Conservation Area in North Pelham is a giant 500 years old sugar maple tree (Acer saccharum) that still stands despite its great age.,n,,,,,,n,16,,8,http://planetrocks.ca/wp-content/uploads/S112.png
Nature,396,s113,High Park,,43.649301,-79.46016,Grenadier Pond in High Park may seem like an artificial lake given its urban setting near downtown Toronto but it is actually a lagoon similar to Frenchman's Bay ([S1]) and Cootes Paradise ([S111]) cut off from Lake Ontario by a[ Spit ]now followed by the Queen Elizabeth Highway. It contains remnants of old growth forest with some big 200 year old black oak trees best seen along Park Drive. ,y,,,216.65,0,-14.08,n,14,,8,http://planetrocks.ca/wp-content/uploads/S113.png
Nature,397,s114,Elevated Wetlands,Living Sculptures ,43.702573,-79.333878,"The 'Elevated Wetlands' by Noel Harding are sculptures made entirely of recycled plastics that house interesting hydroponic systems that not only supports the plants inside, but cleans the water in the Don River. The solar panels power a watering system that pumps from the river itself, which is utilized by the plants and 'filtered' of toxins. This process is known as 'Phytoremediation' and demonstrates the importance of preserving wetlands in our environment.",y,43.702335,-79.33338,313.96,0,-9.05,n,17,,8,http://planetrocks.ca/wp-content/uploads/S114.png
Rocks and Minerals,398,s115,Little Norway Park,Well Travelled,43.635328,-79.39848,"Little Norway Park commemorates the Norwegian training base built at this park in World War II. The three ton boulder that sits center on the flower[ Bed ]is a [Precambrian] glacial [Erratic] (See Sites [C32], [C45], [S105]) that was shipped all the way from Norway and unveiled by Crown Prince Harald in 1976. What is ironic is this boulder is from a part of Norway that a billion years ago formed part of the Canadian [Shield] found right here in Ontario. Thus it has returned home; a billion year homecoming journey. One can visit the actual site of the base near Muskoka Lake (Site [C98])",y,43.635553,-79.398212,228.97,1,-4.41,n,16,,4,http://planetrocks.ca/wp-content/uploads/S115.png
Nature,399,s116,Toronto Botanical Gardens ,,43.734251,-79.358153,"The Toronto Botanical Garden offers an array of 17 award-winning themed gardens spanning nearly four acres, designed to educate and inspire. You'll also find a complete range of innovative indoor and outdoor learning experiences for all ages including programs, garden tours, nature day camps, field trips and an extensive horticultural library; LEED Silver Certified Building with an energy-efficient sloping green roof and award-winning ecologically conscious design; rental facilities; garden shop and seasonal café. Visit them at 777 Lawrence Ave East, Toronto, ON M3C 1P2 (Information from www.torontobotanicalgarden.ca)",y,43.734546,-79.357405,213.15,0,-16.91,n,17,,8,http://planetrocks.ca/wp-content/uploads/S116.png
Nature,400,s117,Allan Gardens Conservatory,,43.661459,-79.37507,"Built in 1910, a distinct glass and cast iron 'dome' houses Toronto's botanical oasis; Allan Gardens. It contains a permanent collection of both rare and exotic plant species from around the world divided into 6 greenhouses; 2 tropical houses, a temperate house, a palm house and an arid house. In addition to seasonal collections and tours, it hosts multiple flower shows throughout the year. Allan Gardens is located at 19 Horticultural Avenue and open 365 days a year with free admission.",y,43.661459,-79.37507,65.98,0,-12.82,n,17,,8,http://planetrocks.ca/wp-content/uploads/S117.png
Historic,401,s118,The 48th Highlanders Monument,,43.665953,-79.392982,"The 48th Highlanders Monument is a [Granite] monolith commemorating those in the regiment that gave the ultimate sacrifice.  It was designed by artists Eric Wilson Halenby and Alvan Mathers and erected on the 11th of November in 1923, today celebrated as Remembrance Day in Canada and the Commonwealth. The sword shaped cross on the north side is known as the 'Cross of Sacrifice', common to many war memorials, with adjacent sides scribed with famous battles the Highlanders had fought. Their Gaelic motto: 'Dileas gu brath'(Forever Faithful) is also seen on the north side complemented by the Scottish Crown sitting at the very top. Today, the 48th Highlanders remain an active infantry reserve regiment in the Canadian Forces, parading out of Moss Park Armoury near Queen and Jarvis.",y,,,169.01,0,-12.12,n,17,,5,http://planetrocks.ca/wp-content/uploads/S118.png
Historic,402,s119,South African War Memorial,,43.651295,-79.386809,"Winged Victory' takes flight above Britannia, who is guarded by two common soldiers with magazine Enfields and jungle uniforms. This majestic [Granite] pillar commemorates the Canadians that fought along with the British in the South African War (Also known as the Boer War). Commissioned in 1910, it was designed by the famous Canadian sculptor Walter Seymour Allward who also designed the renowned Vimy Ridge Memorial in France.",y,43.651276,-79.386624,272.53,0,-20.85,n,17,,5,http://planetrocks.ca/wp-content/uploads/S119.png
Nature,403,s120,Going up at Heber Down,,43.928433,-78.984941,"Heber Down Conservation Area preserves part of the steep shoreline of the former glacial Lake Iroquois that briefly covered much of southern Ontario about 12,000 years ago at the end of the last [Ice age] ([S14]). [Groundwater] seeping from the base of the old shoreline bluff forms a[ Series ]of cold water springs that are the headwaters of Lynde Creek. Hiking trails meander up the face of the bluff and offer scenic views over the old lake floor to the south that remind us of the major changes in climate and environment that have affected Ontario in the recent geologic past. The area has excellent fishing and bird watching",y,,,320.66,0,-8.58,n,16,,8,http://planetrocks.ca/wp-content/uploads/S120.png
Historic,404,s121,Hockey Hall of Fame,,43.6468,-79.376941,"This imposing building in the rather opulent architectural style known as 'Beaux Arts' at the northwest corner of Front and Yonge streets was formerly the Bank of Montreal. It was built in 1885 of Ohio [Sandstone] known to geologists as the Berea[ Formation ]of Early Mississippian age (about 350 million years old) from northeastern Ohio. It is a quartz arenite meaning a [Sandstone] dominated by hard, resistant  quartz grains and relatively free ('clean') of softer minerals such as feldspar hence its widespread use as a durable building stone. The latin motto of the City of Montreal (Concord Salus: strictly meaning Salvation through Harmony) is carved above the front door of the building and is somehow very appropriate to its new use because a loose translation means 'save in peace' in reference of course to goalies. The architect also decorated the building with theatrical masks somehow in anticipation it would seem of its future use.",y,,,310.37,0,-13.77,n,17,,5,http://planetrocks.ca/wp-content/uploads/S121.png
Nature,405,s122,Kerncliff Park,,43.348826,-79.859973,Kerncliff Park is a rehabilitated quarry right that some 30 years ago worked the [Silurian] [Dolostone] cap rock on the edge of the Niagara [Escarpment] overlooking Burlington.  It has an interesting wetland and boardwalk on the floor of the quarry and is ideal for a half day out; it is also a good way to access the Bruce Trail which keeps to the edge of the [Escarpment].,n,,,,,,n,16,,8,http://planetrocks.ca/wp-content/uploads/S122.png
Nature,406,s123,Smoky Hollow and Waterdown Falls,,43.3308,-79.887069,"Grindstone Creek falls over the Niagara [Escarpment] as picturesque Waterdown Falls (also known as Great Falls). The relatively hard early [Silurian] Whirlpool [Sandstone] occurs on the lower part of the [Escarpment] slope and was once a source of grindstones hence the name. Once a busy spot with several saw and grist mills, it was isolated once the nearby railway came through and the mills were abandoned. A view point provides a great overlook.",n,,,,,,n,16,,8,http://planetrocks.ca/wp-content/uploads/S123.png
Nature,407,s124,Crothers Woods,Time Machine,43.698472,-79.36017,"Crothers Woods is a portal through time that allows one to see Toronto the way it was before European settlement. It is part of the once vast Carolinian forest; a zone that begins from the Carolinas and fades into the great lakes. This 52 acre woodland is a sanctuary to many native tree species, some undisturbed for hundreds of years.  Trails and narrow paths, perfect for mountain bikers, weave down into the great Don Valley and eventually into the Don Valley Brickworks (Site [S15]).",n,,,,,,n,16,,8,http://planetrocks.ca/wp-content/uploads/S124.png
Nature,408,s125,Kortright Centre,,43.832035,-79.59084,"The Kortright Centre's 325 hectares is dedicated to both the conservation of the Oak Ridges (Site [S17]) [Moraine] and education towards sustainable practises to preserved the environment. In addition to fantastic trails through native forest, it hosts many programs including the very tasty maple syrup festival. It is located at 9550 Pine Valley Drive in Woodbridge.",n,,,,,,n,17,,8,http://planetrocks.ca/wp-content/uploads/S125.png
Historic,409,s126,McMichael Art Gallery ,All Canadian,43.842002,-79.618285,"The McMichael Art Gallery houses a world famous permanent collection of nearly 6000 works done only by Canadian artists, including the famous Group of Seven. Beyond the Gallery are a hundred acres of forested land containing hiking trails detailed with sculptures and a wilderness garden planted by the McMichael's to reflect the northern forest that inspired the[ Group ]of Seven. Gabrielle Roy said it best: Nous connaîtrions-nous seulement un peu nous-mêmes sans les arts?",n,,,,,,n,17,,5,http://planetrocks.ca/wp-content/uploads/S126.png
Rocks and Minerals,410,s127,Devil's Punch Bowl,,43.21126,-79.755024,"One of Hamilton's many waterfalls (See Sites [S25], [S26], [S28]), Devil's Punch bowl is a 37 metre ribbon waterfall that was formed 450 million years ago during the [Silurian]; where an ancient inland sea covered what is now southern Ontario. Remnants of the sea are now exposed in the [Strata] of the horseshoe cliff itself as [Dolostone]. Devil's Punch Bowl can be accessed on the 600 kilometre Niagara Bruce Trail that stretches along the rim of the Niagara [Escarpment] (Site [S36]).",n,,,,,,n,17,,4,http://planetrocks.ca/wp-content/uploads/S127.png
Rocks and Minerals,411,s128,Precambrian Erratic,,43.706298,-79.367847,A beautiful example of a far travelled '[Ice age]' boulder brought down from the Canadian [Shield] by the last [Ice sheet] and left behind as a graphic reminder of climate change.,y,43.706341,-79.367976,100.15,0,-1.49,n,16,,4,http://planetrocks.ca/wp-content/uploads/S128.png
Historic,412,s129,Taber Hill,,43.759797,-79.234456,"An Iroquoian[ Burial ]mound containing the remains of about 400 people dating from about 1200 A.D, an archeological[ Era ]called the 'post-Woodland.' It was found in 1956 during construction of a subdivision. See also sites [S23], [C42] and [W44].",y,43.760175,-79.235236,130.32,0,-6.45,n,17,,5,http://planetrocks.ca/wp-content/uploads/S129.png
Nature,413,s130,Jokers Hill,Koffler Scientific Reserve,43.957823,-79.519635,"The Koffler Scientific reserve is a renowned research site for biodiversity and ecology run by the University of Toronto.  Called an ""an island in a sea of development"", Jokers Hill preserves a classic part of the Oak Ridges [Moraine] (Site [S17]) for future scientific study of ecosystems. Visitors are welcome to walk the reserve's trails and explore some of the untouched wetlands, forests and grasslands.",n,,,,,,n,15,b,8,http://planetrocks.ca/wp-content/uploads/S130.png
Historic,414,s131,Toronto Carrying Place Trail ,,43.655931,-79.492806,"Also known as the Humber Portage or Toronto Passage, this trail connected Lake Ontario at the mouths of the Rouge and Humber rivers overland across the Oak Ridges [Moraine] ([S17]) and then down the Holland River to Lake Simcoe and then onto to Georgian Bay along roughly what is today Highway 400. It was used by First Nations peoples and early Europeans and was a major outlet for the fur trade.  Étienne Brûlé the intrepid French explorer followed the route in 1615. Fortified villages on the Humber River and at the mouth of the Rouge River monitored the flow of furs.  The trail was in use until Lieutenant Governor John Graves Simcoe ordered the construction of Yonge Street in 1794 to be cleared from Lake Ontario to Lake Simcoe avoiding American fortifications in the lower lakes.  ",y,43.655916,-79.492963,81.38,0,-5.35,n,13,,5,http://planetrocks.ca/wp-content/uploads/S131.png
Rocks and Minerals,415,s132,Dolostone Erratic,,43.767315,-79.412726,"This large 7 tonne [Dolostone] [Erratic] (See Sites [C32], [C45], [S115]) was found buried in[ Till ]about 10 metres below the surface during the excavation of the Yonge Street subway in August of 1972. [Dolostone] is a magnesium-rich variety of [Limestone] that forms the hard protective cap rock of  the Niagara [Escarpment] (Site [S36]).",y,43.767406,-79.412514,245.22,0,0,n,17,,4,http://planetrocks.ca/wp-content/uploads/S132.png
Rocks and Minerals,416,s133,Rocking the Moon,Igneous Boulder,43.659327,-79.401605,In front of Lord Lansdowne Public School on the Spadina roundabout in Toronto is a special type of glacial [Erratic] that was found during construction of the school. It is an [Igneous rock] known as [Anorthosite] (See site [C5]) that is common on the Moon (where it makes up the the pale-coloured Highlands) and can also be found across the Canadian [Shield] most famously at Parry Sound where it formed deep underground about 1.3 billion years ago when large landmasses collided (site [C4]). It was eroded and carried south by glaciers during the last [Ice age].,y,43.659389,-79.401471,270,0,0,n,18,,4,http://planetrocks.ca/wp-content/uploads/S133.png
Rocks and Minerals,417,s134,Heavy Minerals on the Beach,,43.70314,-79.239431,"The Great lakes are in reality inland seas that frequently experience large waves and strong currents (e.g. Sites [W1] & [W2]). [Erosion] of soft glacial sediments along high energy coastlines, especially till, results in sorting of the[ Sediment ]into different[ Mineral ]fractions that vary in density. This often results in distinct concentrations of so-called 'heavy' minerals such as magnetite and garnet that gives rise to a distinct black or pink colouration respectively to beach sands. These are not economically important but serve as useful illustrations of a process that elsewhere in the world has produced valuable 'placer deposits' such as gold in Nome, Alaska and tin in Indonesia.  Rivers also sort glacial[ Sediment ]giving rise to fluvial placers in some areas wind (A[Eolian] Placers). Some Great lake beaches contain small quantities of micro-[Diamonds] and gold brought south from the Canadian [Shield] during successive glaciations.  Most beach sands are dominated by relatively light minerals such as quartz and feldspar.",n,,,,,,n,18,,4,http://planetrocks.ca/wp-content/uploads/S134.png
Historic,418,s135,The American Falls,Why the Horseshoe Falls are better,43.085902,-79.06861,"Look at the American Falls at Niagara and you'll see they have a very different appearance. They have very large blocks of rock at their base, and are altogether smaller and much less impressive than their Canadian counterpart.  In a misguided scheme in the 1960's the US Army Corps of Engineers thought they would remove all the blocks and create a higher more impressive falls. Unfortunately, their part of the gorge is more prone to rock falls (See Site [S48]) and they quickly determined that the large blocks actually help support the rock face over which the Niagara River flows.  Take away the blocks and there's a good chance the whole thing will come crashing down creating even smaller falls. It's likely that the much stronger flow of water over the Horseshoe Falls helps clear away any rocky[ Debris ]that would otherwise pile up at the base of the falls.",y,43.085481,-79.076562,99.57,0,-1.89,n,17,,5,http://planetrocks.ca/wp-content/uploads/S135.png
Rocks and Minerals,419,s136,The Canadian Shield,What Makes Us,43.670023,-79.392341,"Think for a moment, what it means to be an Ontarian. A heightened sense of seasons and their rapid passage from one to another, huge flights of geese honking their way overhead[ Spring ]and fall, the beauty of the fall colors and winter snow, a lazy summer afternoon by a lake maybe Great usually small, the buzz of a new hockey or baseball season (and mosquitoes). Above all, it carries a sense of huge wide open spaces 'up there' in cottage country filled with an emptiness of trees, rocks and lakes. We refer of course to the Canadian [Shield] and it's easy to forget with our increasingly urban southern lifestyle just what a profound influence the rocks have had on Ontario... and us.",y,43.670015,-79.392389,125.02,0,2.21,n,17,,4,http://planetrocks.ca/wp-content/uploads/S136.png
Historic,420,s137,St. Andrew's Church ,,43.647025,-79.385923,"The red tint of this 19th century Presbyterian Church is comes from Georgetown Whirlpool [Sandstones] of the Credit Valley (Site [S51]), The distinct medieval Scottish design exemplifies the Romanesque Revival Architecture designed by William Storm; a famous Toronto Architect. It is one of Canada's most influential Presbyterian churches having established St. Andrews Institute and having close connections with the 48th Highlanders Regiment (Site [S118]).",y,43.647025,-79.385923,95.5,0,-36.77,n,16,,5,http://planetrocks.ca/wp-content/uploads/S137.png
Nature,421,w1,Long Point, A Sand Spit in Lake Erie,42.58,-80.395,"Long Point is the largest[ Sands]pit anywhere in the Great Lakes, extending some 32 kilometres out into the deepest part of Lake Erie. It separates the relatively deep waters of the eastern basin of Lake Erie (up to 60 metres deep) from the much shallower central basin to the west (averaging 25 metres). The[ Spit ]has a diverse mosaic of habitats with rich biodiversity. The warm climate (due largely to the park's southern latitude) allows temperate plants and animals to thrive. For example North America's only marsupial, the Virginia Opossum, lives here and nowhere else in Canada.",y,42.577979,-80.43991,161.62,0,-13.06,y,14,,8,http://planetrocks.ca/wp-content/uploads/W1.png
Nature,422,w2,Port Burwell Cliffs, Geology Giveth and Taketh Away,42.6395,-80.81033333,"Ontario is a large place. Its extreme northern edge shares the same latitude (56°N) as southern Alaska. Here polar bears live along a Hudson Bay coastline that remains icebound until late May. In the extreme south, Pelee Island in Lake Erie, Canada's most southerly point, shares the same latitude (41°) as Rome, Italy.",n,,,,,,n,15,,8,http://planetrocks.ca/wp-content/uploads/W2.png
